Тут перечислено далеко не все, поскольку большая часть мне просто не нужна,
поскольку штатная магнитола уже давно в помойке.
А так как дисплей тоже планируется отправить в том же направлении,
то использовать его для вывода чего то кастомного, также планов не было.

Первая цифра - номер байта относительно начала посылки
Вторая цифра - номер бита относительно начала пакета
Третья цифра - значение / описание


0, 0, 1
0, 1, 0
0, 2, 1
0, 3, 0
0, 4, 0
0, 5, 0
0, 6, 1
0, 7, 0
4, 0, верхняя палка в левой цифре температуры
4, 1, верхняя левая палка в левой цифре температуры
4, 2, нижняя левая палка в левой цифре температуры
4, 3, знак минуса в температуре
4, 4, верхняя правая палка в левой цифре температуры
4, 5, средняя палка в левой цифре температуры
4, 6, правая нижняя палка в левой цифре температуры
4, 7, нижняя палка в левой цифре температуры
5, 0, верхняя палка в правой цифре температуры
5, 1, верхняя левая палка в правой цифре температуры
5, 2, нижняя левая палка в правой цифре температуры
5, 4, верхняя правая палка в правой цифре температуры
5, 5, средняя палка в правой цифре температуры
5, 6, правая нижняя палка в правой цифре температуры
5, 7, нижняя палка в правой цифре температуры
10, 6, 0
10, 7, 0
11, 0, 1
11, 1, 0
11, 2, 1
11, 3, 0
11, 4, 0
11, 5, 0
11, 6, 1
11, 7, 0
18, 4, вторая цифра расхода - верхняя палка
18, 5, вторая цифра расхода - верхняя левая палка
18, 6, вторая цифра расхода - нижняя левая палка
18, 7, первая цифра расхода (всегда 1)
19, 0, вторая цифра расхода - верхняя правая палка
19, 1, вторая цифра расхода - средняя палка
19, 2, вторая цифра расхода - нижняя правая палка
19, 3, вторая цифра расхода - нижняя палка
19, 4, третья цифра расхода - верхняя палка
19, 5, третья цифра расхода - верхняя левая палка
19, 6, третья цифра расхода - нижняя левая палка
20, 0, третья цифра расхода - верхняя правая палка
20, 1, третья цифра расхода - средняя палка
20, 2, третья цифра расхода - нижняя правая палка
20, 3, третья цифра расхода - нижняя палка
21, 6, 0
21, 7, 1
22, 0, 1
22, 1, 0
22, 2, 1
22, 3, 0
22, 4, 0
22, 5, 0
22, 6, 1
22, 7, 0
23, 0, четвертая цифра расхода - верхняя палка
23, 1, четвертая цифра расхода - верхняя левая палка
23, 2, четвертая цифра расхода - нижняя левая палка
23, 4, четвертая цифра расхода - верхняя правая палка
23, 5, четвертая цифра расхода - средняя палка
23, 6, четвертая цифра расхода - нижняя правая палка
23, 7, четвертая цифра расхода - нижняя палка
24, 0, km(/h)mph
24, 1, (km)/hmph
24, 2, (L/100)km/L
24, 3, (mpg)miles
24, 4, km/h(mph)
24, 5, L/100km(/L)
24, 6, L/100(km)/L
24, 7, mpg(miles)
28, 7, точка разделяющая третью и четвертую цифру расхода
32, 6, 1
32, 7, 0
33, 0, 1
33, 1, 0
33, 2, 1
33, 3, 0
33, 4, 0
33, 5, 0
33, 6, 1
33, 7, 0
36, 1, первая цифра часов (всегда 1)
36, 2, вторая цифра часов - нижняя палка
36, 3, вторая цифра часов - нижняя левая палка
36, 6, вторая цифра часов - средняя палка
36, 7, вторая цифра часов - верхняя левая палка
37, 2, вторая цифра часов - нижняя правая палка
37, 3, вторая цифра часов - верхняя правая палка
37, 7, вторая цифра часов - верхняя палка
38, 2, третья цифра часов - нижняя палка
38, 3, третья цифра часов - нижняя левая палка
38, 6, третья цифра часов - средняя палка
38, 7, третья цифра часов - верхняя левая палка
39, 2, третья цифра часов - нижняя правая палка
39, 3, третья цифра часов - верхняя правая палка
39, 7, третья цифра часов - верхняя палка
40, 2, четвертая цифра часов - нижняя палка
40, 3, четвертая цифра часов - нижняя левая палка
40, 6, четвертая цифра часов - средняя палка
40, 7, четвертая цифра часов - верхняя левая палка
41, 2, четвертая цифра часов - нижняя правая палка
41, 3, четвертая цифра часов - верхняя правая палка
41, 7, четвертая цифра часов - верхняя палка
43, 6, 1
43, 7, 1
